effective_month,symbol,history_days,liquidity_30d_median,liquidity_rank
2020-04-01 00:00:00+00:00,BTCUSDT,91,721321887.9815407,1.0
2020-04-01 00:00:00+00:00,ETHUSDT,91,160830673.6624673,2.0
2020-04-01 00:00:00+00:00,BNBUSDT,91,56886915.0785645,3.0
2020-04-01 00:00:00+00:00,LINKUSDT,91,51046535.401289,4.0
2020-04-01 00:00:00+00:00,BCHUSDT,91,50920525.04178085,5.0
2020-04-01 00:00:00+00:00,XRPUSDT,91,39304108.061864,6.0
2020-04-01 00:00:00+00:00,LTCUSDT,91,33560472.15506895,7.0
2020-04-01 00:00:00+00:00,XTZUSDT,91,23019280.36048,8.0
2020-04-01 00:00:00+00:00,ETCUSDT,91,21177370.717548497,9.0
2020-04-01 00:00:00+00:00,ADAUSDT,91,10093134.955062,10.0
2020-04-01 00:00:00+00:00,TRXUSDT,91,9944473.771527499,11.0
2020-04-01 00:00:00+00:00,DASHUSDT,91,7146684.278246,12.0
2020-04-01 00:00:00+00:00,NEOUSDT,91,5724314.464486999,13.0
2020-04-01 00:00:00+00:00,VETUSDT,91,5325777.2473175,14.0
2020-04-01 00:00:00+00:00,ZECUSDT,91,5035753.4057575,15.0
2020-04-01 00:00:00+00:00,ATOMUSDT,91,4273741.9109905,16.0
2020-04-01 00:00:00+00:00,XLMUSDT,91,4245203.561989,17.0
2020-04-01 00:00:00+00:00,ONTUSDT,91,4015603.603455,18.0
2020-04-01 00:00:00+00:00,HBARUSDT,91,3556948.7545505,19.0
2020-04-01 00:00:00+00:00,QTUMUSDT,91,3005468.0214305,20.0
2020-04-01 00:00:00+00:00,ALGOUSDT,91,2749277.044931,21.0
2020-04-01 00:00:00+00:00,IOSTUSDT,91,2522601.453242,22.0
2020-04-01 00:00:00+00:00,ICXUSDT,91,2162891.1494770003,23.0
2020-04-01 00:00:00+00:00,BATUSDT,91,1921047.7170705,24.0
2020-04-01 00:00:00+00:00,IOTAUSDT,91,1426815.7331995,25.0
2020-05-01 00:00:00+00:00,BTCUSDT,121,499551047.5860788,1.0
2020-05-01 00:00:00+00:00,ETHUSDT,121,160206388.4543302,2.0
2020-05-01 00:00:00+00:00,BNBUSDT,121,58085844.4832295,3.0
2020-05-01 00:00:00+00:00,LINKUSDT,121,50769212.418021,4.0
2020-05-01 00:00:00+00:00,BCHUSDT,121,43885883.975681245,5.0
2020-05-01 00:00:00+00:00,XRPUSDT,121,23687631.487379998,6.0
2020-05-01 00:00:00+00:00,XTZUSDT,121,22496881.833385997,7.0
2020-05-01 00:00:00+00:00,LTCUSDT,121,21535671.46696535,8.0
2020-05-01 00:00:00+00:00,DASHUSDT,121,10048674.142430902,9.0
2020-05-01 00:00:00+00:00,ETCUSDT,121,9956630.969316,10.0
2020-05-01 00:00:00+00:00,TRXUSDT,121,9207164.855842,11.0
2020-05-01 00:00:00+00:00,ADAUSDT,121,7830351.602930499,12.0
2020-05-01 00:00:00+00:00,XLMUSDT,121,6668641.063966,13.0
2020-05-01 00:00:00+00:00,ZECUSDT,121,5661818.7185786,14.0
2020-05-01 00:00:00+00:00,VETUSDT,121,4852122.425637,15.0
2020-05-01 00:00:00+00:00,NEOUSDT,121,3517805.1379385,16.0
2020-05-01 00:00:00+00:00,ONTUSDT,121,3404121.57889,17.0
2020-05-01 00:00:00+00:00,ATOMUSDT,121,2997161.2606195,18.0
2020-05-01 00:00:00+00:00,ALGOUSDT,121,2667320.7027915,19.0
2020-05-01 00:00:00+00:00,QTUMUSDT,121,2300315.5159994997,20.0
2020-05-01 00:00:00+00:00,BATUSDT,121,1939544.8415255,21.0
2020-05-01 00:00:00+00:00,ICXUSDT,121,1864701.691718,22.0
2020-05-01 00:00:00+00:00,KAVAUSDT,121,1764792.2618055,23.0
2020-05-01 00:00:00+00:00,IOSTUSDT,121,1622661.4769305,24.0
